1  0  3
2  1  1
3  1  3
4  1  1
5  0  3
6  0  3
7  0  1
8  0  3
9  1  3
10  1  2
11  1  3
12  1  1
13  0  3
14  0  3
15  0  3
16  1  2
17  0  3
18  1  2
19  0  3
20  1  3
21  0  2
22  1  2
23  1  3
24  1  1
25  0  3
26  1  3
27  0  3
28  0  1
29  1  3
30  0  3
31  0  1
32  1  1
33  1  3
34  0  2
35  0  1
36  0  1
37  1  3
38  0  3
39  0  3
40  1  3
41  0  3
42  0  2
43  0  3
44  1  2
45  1  3
46  0  3
47  0  3
48  1  3
49  0  3
50  0  3
51  0  3
52  0  3
53  1  1
54  1  2
55  0  1
56  1  1
57  1  2
58  0  3
59  1  2
60  0  3
61  0  3
62  1  1
63  0  1
64  0  3
65  0  1
66  1  3
67  1  2
68  0  3
69  1  3
70  0  3
71  0  2
72  0  3
73  0  2
74  0  3
75  1  3
76  0  3
77  0  3
78  0  3
79  1  2
80  1  3
81  0  3
82  1  3
83  1  3
84  0  1
85  1  2
86  1  3
87  0  3
88  0  3
89  1  1
90  0  3
91  0  3
92  0  3
93  0  1
94  0  3
95  0  3
96  0  3
97  0  1
98  1  1
99  1  2
